Episode: 236, Total Reward: 11, Total Loss: -0.9202518463134766
Episode: 237, Total Reward: 11, Total Loss: 0.38106250762939453
Episode: 238, Total Reward: 7, Total Loss: 0.8098952770233154
Episode: 239, Total Reward: 0, Total Loss: 0.0
Episode: 240, Total Reward: 9, Total Loss: -0.40294313430786133
Episode: 241, Total Reward: 8, Total Loss: -0.2439742088317871
Episode: 242, Total Reward: 6, Total Loss: 0.6951906681060791
Episode: 243, Total Reward: 4, Total Loss: -0.46285033226013184
Episode: 244, Total Reward: 0, Total Loss: 0.0
Episode: 245, Total Reward: 6, Total Loss: -0.13974452018737793
Episode: 246, Total Reward: 8, Total Loss: -0.23140740394592285
Episode: 247, Total Reward: 0, Total Loss: 0.0
Episode: 248, Total Reward: 10, Total Loss: -0.3098698854446411
Episode: 249, Total Reward: 0, Total Loss: 0.0
Episode: 250, Total Reward: 7, Total Loss: 0.5921039581298828
Episode: 251, Total Reward: 7, Total Loss: -0.4158749580383301
Episode: 252, Total Reward: 10, Total Loss: 1.1895081996917725
Episode: 253, Total Reward: 5, Total Loss: -0.5358390808105469
Episode: 254, Total Reward: 0, Total Loss: 0.0
Episode: 255, Total Reward: 6, Total Loss: 0.31328487396240234
Episode: 256, Total Reward: 0, Total Loss: 0.0
Episode: 257, Total Reward: 6, Total Loss: -0.22831320762634277
Episode: 258, Total Reward: 4, Total Loss: -0.460874080657959
Episode: 259, Total Reward: 8, Total Loss: -0.23684096336364746
Episode: 260, Total Reward: 0, Total Loss: 0.0
Episode: 261, Total Reward: 6, Total Loss: -0.15014362335205078
Episode: 262, Total Reward: 6, Total Loss: -0.43439149856567383
Episode: 263, Total Reward: 6, Total Loss: -0.6972956657409668
Episode: 264, Total Reward: 6, Total Loss: -0.4258897304534912
Episode: 265, Total Reward: 0, Total Loss: 0.0
Episode: 266, Total Reward: 0, Total Loss: 0.0
Episode: 267, Total Reward: 5, Total Loss: -0.0955430269241333
Episode: 268, Total Reward: 4, Total Loss: -0.43621301651000977
Episode: 269, Total Reward: 7, Total Loss: -0.1508326530456543
Episode: 270, Total Reward: 0, Total Loss: 0.0
Episode: 271, Total Reward: 5, Total Loss: -0.10810279846191406
Episode: 272, Total Reward: 0, Total Loss: 0.0
Episode: 273, Total Reward: 7, Total Loss: -0.4324455261230469
Episode: 274, Total Reward: 0, Total Loss: 0.0
Episode: 275, Total Reward: 0, Total Loss: 0.0
Episode: 276, Total Reward: 0, Total Loss: 0.0
Episode: 277, Total Reward: 3, Total Loss: -0.4447512626647949
Episode: 278, Total Reward: 6, Total Loss: -0.47594332695007324
Episode: 279, Total Reward: 6, Total Loss: -0.5424399375915527
Episode: 280, Total Reward: 11, Total Loss: 0.14695048332214355
Episode: 281, Total Reward: 8, Total Loss: -0.42429637908935547
Episode: 282, Total Reward: 0, Total Loss: 0.0
Episode: 283, Total Reward: 0, Total Loss: 0.0
Episode: 284, Total Reward: 3, Total Loss: -0.24526631832122803
Episode: 285, Total Reward: 5, Total Loss: -0.032140135765075684
Episode: 286, Total Reward: 6, Total Loss: -0.28789258003234863
Episode: 287, Total Reward: 4, Total Loss: -0.5330631732940674
Episode: 288, Total Reward: 0, Total Loss: 0.0
Episode: 289, Total Reward: 0, Total Loss: 0.0
Episode: 290, Total Reward: 5, Total Loss: 0.6963353157043457
Episode: 291, Total Reward: 0, Total Loss: 0.0
Episode: 292, Total Reward: 4, Total Loss: -0.47060537338256836
Episode: 293, Total Reward: 10, Total Loss: 0.5122089385986328
Episode: 294, Total Reward: 12, Total Loss: 1.49941086769104
Episode: 295, Total Reward: 0, Total Loss: 0.0
Episode: 296, Total Reward: 2, Total Loss: -0.351560115814209
Episode: 297, Total Reward: 0, Total Loss: 0.0
Episode: 298, Total Reward: 16, Total Loss: 0.06048011779785156
Episode: 299, Total Reward: 7, Total Loss: -0.5501785278320312
Episode: 300, Total Reward: 6, Total Loss: -0.5800201892852783
Episode: 301, Total Reward: 3, Total Loss: -0.5071570873260498
Episode: 302, Total Reward: 0, Total Loss: 0.0
Episode: 303, Total Reward: 6, Total Loss: -0.02202904224395752
Episode: 304, Total Reward: 5, Total Loss: -0.5750385522842407
Episode: 305, Total Reward: 0, Total Loss: 0.0
Episode: 306, Total Reward: 0, Total Loss: 0.0
Episode: 307, Total Reward: 7, Total Loss: 0.1615445613861084
Episode: 308, Total Reward: 0, Total Loss: 0.0
Episode: 309, Total Reward: 7, Total Loss: -0.32320141792297363
Episode: 310, Total Reward: 5, Total Loss: -0.33671998977661133
Episode: 311, Total Reward: 0, Total Loss: 0.0
Episode: 312, Total Reward: 5, Total Loss: 0.055617570877075195
Episode: 313, Total Reward: 6, Total Loss: -0.15371155738830566
Episode: 314, Total Reward: 6, Total Loss: -0.3956270217895508
Episode: 315, Total Reward: 11, Total Loss: -0.07419252395629883
Episode: 316, Total Reward: 0, Total Loss: 0.0
Episode: 317, Total Reward: 9, Total Loss: -0.5193901062011719
Episode: 318, Total Reward: 9, Total Loss: 0.3266415596008301
Episode: 319, Total Reward: 0, Total Loss: 0.0
Episode: 320, Total Reward: 0, Total Loss: 0.0
Episode: 321, Total Reward: 10, Total Loss: -0.11979198455810547
Episode: 322, Total Reward: 8, Total Loss: 1.1085560321807861
Episode: 323, Total Reward: 10, Total Loss: -0.09197497367858887
Episode: 324, Total Reward: 7, Total Loss: -0.5963144302368164
Episode: 325, Total Reward: 8, Total Loss: -0.42674899101257324
Episode: 326, Total Reward: 9, Total Loss: -0.11253094673156738
Episode: 327, Total Reward: 10, Total Loss: -0.20900559425354004
Episode: 328, Total Reward: 9, Total Loss: 0.20370793342590332
Episode: 329, Total Reward: 8, Total Loss: 0.4272087812423706
Episode: 330, Total Reward: 16, Total Loss: 1.805894136428833
Episode: 331, Total Reward: 6, Total Loss: -0.1697227954864502
Episode: 332, Total Reward: 11, Total Loss: 0.20159876346588135
Episode: 333, Total Reward: 0, Total Loss: 0.0
Episode: 334, Total Reward: 0, Total Loss: 0.0
Episode: 335, Total Reward: 6, Total Loss: 0.1319364309310913
Episode: 336, Total Reward: 10, Total Loss: -0.26534581184387207
Episode: 337, Total Reward: 11, Total Loss: 0.007652878761291504
Episode: 338, Total Reward: 8, Total Loss: 0.5583776235580444
Episode: 339, Total Reward: 5, Total Loss: 0.02662038803100586
Episode: 340, Total Reward: 0, Total Loss: 0.0
Episode: 341, Total Reward: 3, Total Loss: -0.31806373596191406
Episode: 342, Total Reward: 5, Total Loss: -0.2810544967651367
Episode: 343, Total Reward: 5, Total Loss: 0.49965739250183105
Episode: 344, Total Reward: 10, Total Loss: -0.030906200408935547
Episode: 345, Total Reward: 4, Total Loss: -0.4158933162689209
Episode: 346, Total Reward: 5, Total Loss: -0.35957860946655273
Episode: 347, Total Reward: 4, Total Loss: 0.21100878715515137
Episode: 348, Total Reward: 0, Total Loss: 0.0
Episode: 349, Total Reward: 0, Total Loss: 0.0
Episode: 350, Total Reward: 5, Total Loss: 0.6078619956970215
Episode: 351, Total Reward: 0, Total Loss: 0.0
Episode: 352, Total Reward: 0, Total Loss: 0.0
Episode: 353, Total Reward: 0, Total Loss: 0.0
Episode: 354, Total Reward: 5, Total Loss: -0.6426267623901367
Episode: 355, Total Reward: 5, Total Loss: -0.37224745750427246
Episode: 356, Total Reward: 5, Total Loss: 0.4907193183898926
Episode: 357, Total Reward: 5, Total Loss: 0.6805226802825928
Episode: 358, Total Reward: 5, Total Loss: -0.07317423820495605
Episode: 359, Total Reward: 0, Total Loss: 0.0
Episode: 360, Total Reward: 0, Total Loss: 0.0
Episode: 361, Total Reward: 5, Total Loss: -0.3325333595275879
Episode: 362, Total Reward: 7, Total Loss: 0.19367265701293945
Episode: 363, Total Reward: 7, Total Loss: -0.041999101638793945
Episode: 364, Total Reward: 3, Total Loss: -0.4757416248321533
Episode: 365, Total Reward: 5, Total Loss: -0.18879437446594238
Episode: 366, Total Reward: 0, Total Loss: 0.0
Episode: 367, Total Reward: 3, Total Loss: -0.3530702590942383
Episode: 368, Total Reward: 6, Total Loss: -0.4857480525970459
Episode: 369, Total Reward: 5, Total Loss: 0.36299753189086914
Episode: 370, Total Reward: 6, Total Loss: -0.4190678596496582
Episode: 371, Total Reward: 12, Total Loss: 1.4203662872314453
Episode: 372, Total Reward: 7, Total Loss: 1.6578998565673828
Episode: 373, Total Reward: 3, Total Loss: -0.23092854022979736
Episode: 374, Total Reward: 7, Total Loss: 1.036503553390503
Episode: 375, Total Reward: 9, Total Loss: -0.017907142639160156
Episode: 376, Total Reward: 0, Total Loss: 0.0
Episode: 377, Total Reward: 0, Total Loss: 0.0
Episode: 378, Total Reward: 0, Total Loss: 0.0
Episode: 379, Total Reward: 5, Total Loss: 0.21288514137268066
Episode: 380, Total Reward: 7, Total Loss: -0.21683382987976074
Episode: 381, Total Reward: 5, Total Loss: -0.4551048278808594
Episode: 382, Total Reward: 10, Total Loss: -0.3957681655883789
Episode: 383, Total Reward: 6, Total Loss: -0.15616941452026367
Episode: 384, Total Reward: 0, Total Loss: 0.0
Episode: 385, Total Reward: 12, Total Loss: -0.2114865779876709
Episode: 386, Total Reward: 0, Total Loss: 0.0
Episode: 387, Total Reward: 7, Total Loss: 0.665747880935669
Episode: 388, Total Reward: 8, Total Loss: -0.42089366912841797
Episode: 389, Total Reward: 6, Total Loss: 0.08464860916137695
Episode: 390, Total Reward: 0, Total Loss: 0.0
Episode: 391, Total Reward: 7, Total Loss: 0.18409013748168945
Episode: 392, Total Reward: 0, Total Loss: 0.0
Episode: 393, Total Reward: 11, Total Loss: 0.09014439582824707
Episode: 394, Total Reward: 16, Total Loss: 2.6331448554992676
Episode: 395, Total Reward: 0, Total Loss: 0.0
Episode: 396, Total Reward: 0, Total Loss: 0.0
Episode: 397, Total Reward: 0, Total Loss: 0.0
Episode: 398, Total Reward: 4, Total Loss: -0.5014033317565918
Episode: 399, Total Reward: 0, Total Loss: 0.0
Episode: 400, Total Reward: 8, Total Loss: -0.06550168991088867
Episode: 401, Total Reward: 0, Total Loss: 0.0
Episode: 402, Total Reward: 11, Total Loss: 0.27066242694854736
Episode: 403, Total Reward: 12, Total Loss: 1.800337314605713
Episode: 404, Total Reward: 0, Total Loss: 0.0
Episode: 405, Total Reward: 12, Total Loss: 1.727116346359253
Episode: 406, Total Reward: 11, Total Loss: -0.7852640151977539
Episode: 407, Total Reward: 4, Total Loss: -0.10828578472137451
Episode: 408, Total Reward: 0, Total Loss: 0.0
Episode: 409, Total Reward: 8, Total Loss: -0.44923877716064453
Episode: 410, Total Reward: 7, Total Loss: -0.3494374752044678
Episode: 411, Total Reward: 4, Total Loss: 0.6974344253540039
Episode: 412, Total Reward: 5, Total Loss: 0.12745440006256104
Episode: 413, Total Reward: 3, Total Loss: -0.4787600040435791
Episode: 414, Total Reward: 5, Total Loss: 0.6353801488876343
Episode: 415, Total Reward: 1, Total Loss: -0.5424375534057617
Episode: 416, Total Reward: 3, Total Loss: -0.7599034309387207
Episode: 417, Total Reward: 8, Total Loss: 0.02754974365234375
Episode: 418, Total Reward: 7, Total Loss: -0.37767648696899414
Episode: 419, Total Reward: 0, Total Loss: 0.0
Episode: 420, Total Reward: 3, Total Loss: -0.40219902992248535
Episode: 421, Total Reward: 9, Total Loss: 0.11266565322875977
Episode: 422, Total Reward: 0, Total Loss: 0.0
Episode: 423, Total Reward: 10, Total Loss: -0.32619524002075195
Episode: 424, Total Reward: 8, Total Loss: 0.32940220832824707
Episode: 425, Total Reward: 4, Total Loss: -0.5127007961273193
Episode: 426, Total Reward: 3, Total Loss: -0.5032832622528076
Episode: 427, Total Reward: 7, Total Loss: -0.05317044258117676
Episode: 428, Total Reward: 0, Total Loss: 0.0
Episode: 429, Total Reward: 6, Total Loss: -0.401686429977417
Episode: 430, Total Reward: 10, Total Loss: 0.1222611665725708
Episode: 431, Total Reward: 0, Total Loss: 0.0
Episode: 432, Total Reward: 11, Total Loss: 0.7690012454986572
Episode: 433, Total Reward: 8, Total Loss: -0.27607274055480957
Episode: 434, Total Reward: 0, Total Loss: 0.0
Episode: 435, Total Reward: 0, Total Loss: 0.0
Episode: 436, Total Reward: 9, Total Loss: 0.44600439071655273
Episode: 437, Total Reward: 7, Total Loss: 0.5486884117126465
Episode: 438, Total Reward: 10, Total Loss: 0.09405779838562012
Episode: 439, Total Reward: 0, Total Loss: 0.0
Episode: 440, Total Reward: 10, Total Loss: 0.4367485046386719
Episode: 441, Total Reward: 0, Total Loss: 0.0
Episode: 442, Total Reward: 12, Total Loss: 0.07407569885253906
Episode: 443, Total Reward: 7, Total Loss: -0.470853328704834
Episode: 444, Total Reward: 5, Total Loss: 0.5209035873413086
Episode: 445, Total Reward: 0, Total Loss: 0.0
Episode: 446, Total Reward: 3, Total Loss: -0.5070538520812988
Episode: 447, Total Reward: 8, Total Loss: 0.2846801280975342
Episode: 448, Total Reward: 11, Total Loss: -0.14180636405944824
Episode: 449, Total Reward: 6, Total Loss: -0.4469759464263916
Episode: 450, Total Reward: 7, Total Loss: -0.40790796279907227
Episode: 451, Total Reward: 6, Total Loss: -0.4529764652252197
Episode: 452, Total Reward: 9, Total Loss: -0.3900473117828369
Episode: 453, Total Reward: 10, Total Loss: -0.08866429328918457
Episode: 454, Total Reward: 2, Total Loss: -0.14066386222839355
Episode: 455, Total Reward: 7, Total Loss: -0.21027636528015137
Episode: 456, Total Reward: 9, Total Loss: -0.38157200813293457
Episode: 457, Total Reward: 0, Total Loss: 0.0
Episode: 458, Total Reward: 0, Total Loss: 0.0
